Name,Link,ID
Twilight,https://amsclubs.ca/twilight/,224
UBC AMS English Students' Association,https://amsclubs.ca/english-students-association/,225
UBC AMS Neuroscience Association,https://amsclubs.ca/neuroscience-association/,226
UBC Archers,https://amsclubs.ca/archers/,227
UBC BCIT Biotechnology Club,https://amsclubs.ca/ubc-bcit-biotechnology-club/,228
UBC Badminton Club,https://amsclubs.ca/badminton-club/,229
UBC Ballet Club,https://amsclubs.ca/ballet-club/,230
UBC Bangladeshi Students' Association,https://amsclubs.ca/bangladeshi-students-association/,231
UBC Bhangra Club,https://amsclubs.ca/bhangra-club/,232
UBC BizTech,https://amsclubs.ca/ubc-biztech/,233
UBC Blockchain Club,https://amsclubs.ca/blockchain-club/,234
UBC Botany Enthusiasts Club,https://amsclubs.ca/botany-enthusiasts-club/,235
UBC Brewing Club,https://amsclubs.ca/brewing-club/,236
UBC Canadian Liver Foundation,https://amsclubs.ca/canadian-liver-foundation/,237
UBC Chess Club,https://amsclubs.ca/chess-club/,238
UBC Chinese Hanmai Club at UBC,https://amsclubs.ca/chinese-hanmai-club/,239
UBC Chinese Students and Scholars Association,https://amsclubs.ca/chinese-students-and-scholars-association/,240
UBC Club HK,https://amsclubs.ca/club-hk/,241
UBC Cooking Club,https://amsclubs.ca/cooking-club/,242
UBC Dance Club,https://amsclubs.ca/dance-club/,243
UBC Debate Society,https://amsclubs.ca/debate-society/,244
UBC Dollar Project,https://amsclubs.ca/dollar-project/,245
UBC Economics Student Association,https://amsclubs.ca/economics-student-association/,246
UBC Equestrian Club,https://amsclubs.ca/equestrian/,247
UBC Esports Association,https://amsclubs.ca/esports-association/,248
UBC Fencing Club,https://amsclubs.ca/fencing-club/,249
UBC Film Society,https://amsclubs.ca/film-society/,250
UBC Finance Association,https://amsclubs.ca/finance-association/,251
UBC Food Science Club,https://amsclubs.ca/food-science-club/,252
UBC Foundation of International Medical Relief for Children,https://amsclubs.ca/foundation-of-international-medical-reflief-for-children/,253
UBC Game Show Club,https://amsclubs.ca/game-show-club/,254
UBC German Student Association,https://amsclubs.ca/german-student-association/,255
UBC Gluten-Free and Celiac Students,https://amsclubs.ca/gluten-free-and-celiac-students/,256
UBC Go Club,https://amsclubs.ca/go-club/,257
UBC History Students Association,https://amsclubs.ca/history-students-association/,258
UBC Human Resources Management Club,https://amsclubs.ca/human-resources-management-club/,259
UBC Improv,https://amsclubs.ca/ubc-improv/,260
UBC Institute of Transportation Engineers (ITE) Student Chapter,https://amsclubs.ca/institute-transportation-engineers-ite-student-chapter/,261
UBC Ismaili Students Association,https://amsclubs.ca/ismaili-students-association/,262
UBC Jazz Club at AMS,https://amsclubs.ca/jazz-club/,263
UBC Junoon,https://amsclubs.ca/junoon/,264
UBC K-Wave,https://amsclubs.ca/k-wave/,265
UBC Kung Fu Association,https://amsclubs.ca/kung-fu-association/,266
UBC Latin Dance Club,https://amsclubs.ca/latin-dance-club/,267
UBC Law and Society Chats,https://amsclubs.ca/law-and-society-chats/,268
UBC Logger's Sports,https://amsclubs.ca/loggers-sports/,269
UBC MEXSA,https://amsclubs.ca/mexsa/,270
UBC Magic Club @ AMS,https://amsclubs.ca/magic-club/,271
UBC Mahjong Club,https://amsclubs.ca/mahjong-club/,272
UBC Mental Health Awareness Club,https://amsclubs.ca/mental-health-awareness-club/,273
UBC Middle East Studies Students Association,https://amsclubs.ca/middle-east-studies-students-association/,274
UBC Multifaith club,https://amsclubs.ca/multifaith-club/,275
UBC Music Initiative,https://amsclubs.ca/music-initiative/,276
UBC Musical Theatre Troupe,https://amsclubs.ca/musical-theatre-troupe/,277
UBC NOMAS,https://amsclubs.ca/nomas/,278
UBC Pakistani Student's Association,https://amsclubs.ca/pakistani-students-association/,279
UBC Political Science Students' Association,https://amsclubs.ca/political-science-students-association/,280
UBC Pre-Medical Society,https://amsclubs.ca/pre-medical-society/,281
UBC Quidditch Club,https://amsclubs.ca/quidditch-club/,282
UBC Quizbowl Club of the AMS,https://amsclubs.ca/quizbowl-club/,283
UBC RISE,https://amsclubs.ca/ubc-rise/,284
UBC Real Estate Club,https://amsclubs.ca/real-estate-club/,285
UBC Sailing Club,https://amsclubs.ca/sailing-club/,286
UBC Scandinavian and Nordic Student Association,https://amsclubs.ca/scandinavian-and-nordic-student-association/,287
UBC Shotokan Karate Club,https://amsclubs.ca/shotokan-karate-club/,288
UBC Sikh Students' Association,https://amsclubs.ca/skih-students-association/,289
UBC Ski and Board,https://amsclubs.ca/ski-and-board/,290
UBC Social Enterprise Club,https://amsclubs.ca/social-enterprise-club/,291
UBC Sociology Students' Association,https://amsclubs.ca/sociology-students-association/,292
UBC Sororities,https://amsclubs.ca/ubc-sororities/,293
UBC Sprouts Cafe,https://amsclubs.ca/sprouts-cafe/,294
UBC Students Offering Support,https://amsclubs.ca/students-offering-supports/,295
UBC Students for Partners in Health Canada,https://amsclubs.ca/students-for-partners-in-health-canada/,296
UBC Supply Chain and Operations Association,https://amsclubs.ca/supply-chain-and-operations-association/,297
AMS Dance Horizons,https://amsclubs.ca/dance-horizons/,298
AMS Dermatological Health Association at UBC,https://amsclubs.ca/dermatological-health-association/,299
AMS Diabetes Club at UBC,https://amsclubs.ca/diabetes-club/,300
AMS Disability Support Free Store at UBC,https://amsclubs.ca/disability-support-free-store/,301
AMS Disc Golf Club @ UBC,https://amsclubs.ca/disc-golf-club/,302
AMS E-Waste @ UBC,https://amsclubs.ca/e-waste/,303
AMS Ecuadorian Student Association,https://amsclubs.ca/ecuadorian-student-association/,304
AMS Egyptian Student Association (ESA) at UBC,https://amsclubs.ca/egyptian-student-association/,305
AMS FED Together at UBC,https://amsclubs.ca/fed-together/,306
UBC Surf Club,https://amsclubs.ca/surf-club/,307
UBC Table Tennis Club,https://amsclubs.ca/table-tennis-club/,308
UBC Tax Assistance Clinic,https://amsclubs.ca/tax-assistance-clinic/,309
UBC Telugu Students Association at UBC,https://amsclubs.ca/telugu-students-association/,310
UBC Women in Science Club,https://amsclubs.ca/women-in-science-club/,311
UBC Wrestling Club,https://amsclubs.ca/wrestling-club/,312
UBC Yoga Club,https://amsclubs.ca/yoga-club/,313
UBC Young Liberals of Canada,https://amsclubs.ca/young-liberals-of-canada/,314
UTSAV UBC- Indian Students' Association,https://amsclubs.ca/ustav-indian-students-association/,315
Undergraduate Chemistry Society,https://amsclubs.ca/undergraduate-chemistry-society/,316
Undergraduate Research Opportunities,https://amsclubs.ca/undergraduate-research-opportunities/,317
Undergraduate Statistics Society,https://amsclubs.ca/undergraduate-statistics-society/,318
University Christian Ministries,https://amsclubs.ca/university-christian-ministries/,319
University of British Columbia Integrated Sciences Students Association,https://amsclubs.ca/ubc-integrated-science-students-association/,320
University of British Columbia Marketing Association,https://amsclubs.ca/marketing-association/,321
University of British Columbia Mechanical Keyboard Society,https://amsclubs.ca/mechanical-keyboard-society/,322
AMS Unlimited Dance Club at UBC (UDC),https://amsclubs.ca/unlimited-dance-club/,323
Vancouver Hanfu Culture Association,https://amsclubs.ca/vancouver-hanfu-culture-association/,324
